AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J223243.29+312315.4,338.1803853,31.3876345,2.192,MQ,,,,,59348.1,365.2,247.7,19.53,26.61,34.14,51.99,1089.0,2.81,2.99,0.0,0.0,-3.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
J223246.17+074738.4,338.192365,7.7939993,0.097,M,,,,,59970.1,52.6,8.2,133.81,399.73,185.59,131.52,181.3,3.26,4.28,0.0,0.0,-0.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J223248.83+123448.6,338.20347,12.580179,0.221,M,,,,,59347.4,31.9,80.8,32.4,115.51,19.13,23.68,207.3,3.91,4.63,1.0,3.0,27.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J223249.23+241340.4,338.2051231,24.2279035,0.666,MDQW,,,,,59894.2,3054.6,730.6,21.14,22.25,17.9,19.83,1074.1,3.24,2.8,0.0,0.0,2.2,6.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J223251.04+222908.7,338.212648,22.4857621,1.623,MDQW,,QSO,0.081,0.212,59248.1,165.0,561.2,102.67,121.12,36.04,34.81,151.3,2.39,2.33,0.0,0.0,1.1,134.0,147.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
J223302.68-084349.1,338.2611643,-8.7303173,0.058,M,,AGN,0.625,0.23,58373.3,1266.3,2189.9,259.53,544.23,29.22,84.89,187.3,4.34,2.78,1.0,0.0,75.7,147.0,157.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
J223307.16+023511.8,338.2798182,2.5866189,0.826,MDQW,,,,,58331.2,628.3,168.5,23.04,25.91,20.48,16.54,715.0,2.06,2.43,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J223307.73+143829.4,338.2822196,14.6415119,0.088,M,,,,,58829.1,76.8,0.0,91.17,216.34,11.35,37.7,192.2,3.36,3.51,3.0,4.0,-11.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
J223313.25+244708.9,338.3052127,24.7858308,2.259,MQW,,,,,58378.6,52.0,3670.9,135.32,154.68,14.7,14.18,1074.1,2.05,2.36,0.0,0.0,1.4,13.0,17.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
J223320.26+314942.3,338.334405,31.8284419,1.223,MQW,,,,,60593.4,1247.2,790.5,23.58,32.05,12.57,16.65,644.1,2.88,4.62,0.0,0.0,3.3,5.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J223323.69+001907.5,338.3487192,0.3187623,0.086,M,,,,,60079.1,8.1,64.6,94.85,204.2,196.39,596.94,187.3,3.44,4.1,2.0,2.0,-0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J223326.16+291957.4,338.3590079,29.3326098,1.73,MDQW,,,,,60391.5,17.1,895.4,20.05,23.99,23.21,19.76,1089.0,2.8,2.88,0.0,0.0,1.7,4.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J223327.18+233438.8,338.3632338,23.5774577,2.98,MDQ,,,,,58453.1,98.1,4000.0,44.58,54.72,10.66,12.6,1074.1,1.94,2.54,0.0,0.0,-4.3,11.0,18.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
